Process_ID,Stage_1_Time,Stage_2_Time,Stage_3_Time,Total_Time,Delay_Flag
P0633,13.38,26.17,17.72,57.27,0
P0634,7.25,24.86,18.03,50.14,0
P0635,13.76,27.26,23.7,64.72,1
P0636,13.86,33.68,24.04,71.58,1
P0637,14.24,10.88,16.35,41.47,0
P0638,10.55,32.79,16.93,60.27,0
P0639,17.32,25.07,21.32,63.71,1
P0640,17.1,23.37,15.07,55.54,0
P0641,9.02,13.23,20.94,43.19,0
P0642,17.8,29.02,17.56,64.38,1
P0643,23.21,5.69,13.15,42.05,0
P0644,15.69,30.19,13.22,59.1,0
P0645,13.65,13.06,25.24,51.95,0
P0646,14.43,25.43,17.22,57.08,0
P0647,17.46,24.05,26.2,67.71,1
P0648,8.08,34.36,15.43,57.87,0
P0649,15.66,23.57,19.46,58.69,0
P0650,13.44,19.45,29.96,62.85,1
P0651,22.39,20.95,12.71,56.05,0
P0652,14.3,35.18,8.51,57.99,0
P0653,21.67,29.29,24.43,75.39,1
P0654,10.59,21.91,13.87,46.37,0
P0655,17.35,23.11,17.9,58.36,0
P0656,16.28,12.46,15.07,43.81,0
P0657,11.52,28.11,19.34,58.97,0
P0658,15.71,10.92,13.25,39.88,0
P0659,19.85,31.01,17.1,67.96,1
P0660,13.7,26.03,20.25,59.98,0
P0661,8.23,44.1,12.96,65.29,1
P0662,14.93,16.2,14.5,45.63,0
P0663,11.39,24.18,16.26,51.83,0
P0664,13.63,39.39,10.86,63.88,1
P0665,14.67,34.53,15.89,65.09,1
P0666,8.18,19.43,18.59,46.2,0
P0667,8.54,26.79,16.0,51.33,0
P0668,16.93,25.02,16.64,58.59,0
P0669,12.91,27.26,17.9,58.07,0
P0670,4.74,19.41,14.72,38.87,0
P0671,18.14,24.29,21.46,63.89,1
P0672,16.09,12.22,25.18,53.49,0
P0673,12.14,26.08,15.68,53.9,0
P0674,9.73,28.6,20.43,58.76,0
P0675,18.34,23.18,16.8,58.32,0
P0676,16.4,12.08,19.83,48.31,0
P0677,24.53,32.91,25.83,83.27,1
P0678,16.68,27.92,20.54,65.14,1
P0679,16.55,19.19,9.13,44.87,0
P0680,14.33,22.76,20.27,57.36,0
P0681,18.27,12.99,24.16,55.42,0
P0682,17.5,16.8,16.89,51.19,0
P0683,20.01,20.7,22.98,63.69,1
P0684,12.91,34.83,14.55,62.29,1
P0685,13.26,19.88,10.57,43.71,0
P0686,13.08,30.12,18.71,61.91,0
P0687,18.16,20.69,9.22,48.07,0
P0688,20.99,26.98,16.8,64.77,1
P0689,13.16,23.87,24.43,61.46,0
P0690,13.3,31.98,8.45,53.73,0
P0691,16.26,20.72,11.6,48.58,0
P0692,14.02,12.42,12.84,39.28,0
P0693,18.81,13.94,17.68,50.43,0
P0694,5.99,20.74,16.17,42.9,0
P0695,11.69,15.01,25.0,51.7,0
P0696,11.87,28.28,22.77,62.92,1
P0697,5.72,21.27,20.48,47.47,0
P0698,11.15,44.0,18.73,73.88,1
P0699,11.34,11.1,19.97,42.41,0
P0700,14.2,26.63,13.69,54.52,0
P0701,19.45,15.98,22.29,57.72,0
P0702,14.02,21.05,12.44,47.51,0
P0703,10.88,26.13,22.18,59.19,0
P0704,14.77,6.4,23.93,45.1,0
P0705,19.2,26.89,19.05,65.14,1
P0706,11.1,40.22,17.12,68.44,1
P0707,11.36,21.37,20.0,52.73,0
P0708,17.23,27.08,3.69,48.0,0
P0709,14.11,33.2,19.51,66.82,1
P0710,17.59,23.69,17.43,58.71,0
P0711,14.95,20.35,17.75,53.05,0
P0712,17.81,6.79,21.53,46.13,0
P0713,10.86,30.13,17.63,58.62,0
P0714,14.95,24.09,12.3,51.34,0
P0715,14.16,16.9,17.29,48.35,0
P0716,10.14,26.01,18.34,54.49,0
P0717,8.75,20.33,18.57,47.65,0
P0718,17.74,20.77,18.81,57.32,0
P0719,13.6,29.85,23.2,66.65,1
P0720,10.91,14.29,12.57,37.77,0
P0721,14.62,33.38,18.88,66.88,1
P0722,19.51,13.82,24.45,57.78,0
P0723,5.88,19.7,9.33,34.91,0
P0724,9.01,40.38,18.9,68.29,1
P0725,11.31,34.02,15.07,60.4,0
P0726,20.84,25.78,16.15,62.77,1
P0727,16.13,17.48,13.48,47.09,0
P0728,18.07,20.77,17.15,55.99,0
P0729,10.44,25.59,27.21,63.24,1
P0730,10.52,25.3,11.68,47.5,0
P0731,16.79,24.27,12.15,53.21,0
P0732,15.23,24.75,11.49,51.47,0
P0733,17.19,23.28,26.64,67.11,1
P0734,14.25,13.46,15.69,43.4,0
P0735,16.11,20.87,17.87,54.85,0
P0736,15.63,32.32,15.99,63.94,1
P0737,18.11,14.05,13.28,45.44,0
P0738,18.23,23.48,16.82,58.53,0
P0739,8.52,18.44,30.29,57.25,0
P0740,6.01,25.89,24.96,56.86,0
P0741,19.01,21.89,13.74,54.64,0
P0742,19.75,36.82,21.24,77.81,1
P0743,10.92,29.05,13.84,53.81,0
P0744,7.56,14.51,9.12,31.19,0
P0745,15.4,30.37,23.1,68.87,1
P0746,18.72,18.8,23.8,61.32,0
P0747,22.19,20.38,23.23,65.8,1
P0748,17.07,27.51,15.65,60.23,0
P0749,13.51,21.07,17.17,51.75,0
P0750,11.43,32.14,21.75,65.32,1
P0751,15.05,18.8,19.96,53.81,0
P0752,13.8,20.05,16.03,49.88,0
P0753,10.94,19.75,9.9,40.59,0
P0754,23.2,20.47,18.57,62.24,1
P0755,22.14,33.79,23.4,79.33,1
P0756,19.54,30.03,12.01,61.58,0
P0757,11.32,38.68,21.19,71.19,1
P0758,18.42,43.14,19.66,81.22,1
P0759,17.56,16.75,21.75,56.06,0
P0760,16.77,25.56,22.36,64.69,1
P0761,20.0,15.59,14.53,50.12,0
P0762,17.54,18.78,9.92,46.24,0
P0763,17.96,19.96,15.33,53.25,0
P0764,17.55,16.54,22.45,56.54,0
P0765,16.36,16.58,15.29,48.23,0
P0766,7.87,23.85,14.53,46.25,0
P0767,15.33,15.27,8.89,39.49,0
P0768,12.78,31.74,26.76,71.28,1
P0769,9.88,17.66,22.13,49.67,0
P0770,21.73,47.48,21.85,91.06,1
P0771,21.92,21.39,22.84,66.15,1
P0772,20.44,25.58,20.88,66.9,1
P0773,16.02,14.64,16.78,47.44,0
P0774,20.4,38.65,17.18,76.23,1
P0775,15.05,33.96,15.86,64.87,1
P0776,15.81,27.38,31.17,74.36,1
P0777,10.63,14.23,20.78,45.64,0
P0778,16.59,26.69,15.68,58.96,0
P0779,15.24,16.03,20.33,51.6,0
P0780,9.79,36.7,12.95,59.44,0
P0781,14.8,31.47,25.52,71.79,1
P0782,14.68,25.76,14.69,55.13,0
P0783,22.19,5.51,20.51,48.21,0
P0784,18.58,17.13,23.33,59.04,0
P0785,15.05,30.5,19.92,65.47,1
P0786,16.0,34.7,18.47,69.17,1
P0787,15.18,33.87,18.05,67.1,1
P0788,14.19,12.26,17.72,44.17,0
P0789,10.67,27.41,15.12,53.2,0
P0790,14.4,33.12,15.75,63.27,1
P0791,12.02,11.73,25.4,49.15,0
P0792,10.0,24.94,17.46,52.4,0
P0793,17.04,27.19,14.07,58.3,0
P0794,16.57,22.59,15.42,54.58,0
P0795,7.85,10.18,23.5,41.53,0
P0796,14.51,22.39,21.38,58.28,0
P0797,18.98,22.38,20.8,62.16,1
P0798,19.24,23.82,16.71,59.77,0
P0799,19.1,20.49,20.87,60.46,0
P0800,15.16,21.46,14.78,51.4,0
P0801,11.62,24.68,16.7,53.0,0
P0802,10.67,28.54,22.85,62.06,1
P0803,16.38,22.56,22.37,61.31,0
P0804,16.52,21.72,13.09,51.33,0
P0805,20.15,25.74,13.72,59.61,0
P0806,19.4,9.63,18.54,47.57,0
P0807,14.47,28.82,26.63,69.92,1
P0808,10.02,25.0,8.42,43.44,0
P0809,13.72,25.32,19.39,58.43,0
P0810,15.87,32.69,11.12,59.68,0
P0811,14.19,9.38,14.83,38.4,0
P0812,12.69,9.21,16.18,38.08,0
P0813,16.01,27.19,15.9,59.1,0
P0814,12.98,24.94,15.33,53.25,0
P0815,12.49,26.36,18.04,56.89,0
P0816,16.25,21.3,15.32,52.87,0
P0817,13.39,30.31,10.69,54.39,0
P0818,15.98,32.46,21.9,70.34,1
P0819,16.09,28.87,21.76,66.72,1
P0820,10.44,22.91,22.22,55.57,0
P0821,13.08,8.14,10.3,31.52,0
P0822,20.75,31.15,19.49,71.39,1
P0823,10.35,34.77,21.38,66.5,1
P0824,6.53,30.16,12.84,49.53,0
P0825,7.55,17.96,18.05,43.56,0
P0826,15.12,30.39,17.42,62.93,1
P0827,15.12,31.88,27.21,74.21,1
P0828,14.53,37.47,27.62,79.62,1
P0829,19.86,17.99,9.68,47.53,0
P0830,4.31,23.19,30.47,57.97,0
P0831,16.58,30.98,13.42,60.98,0
P0832,21.25,25.46,22.9,69.61,1
P0833,10.49,16.06,22.85,49.4,0
P0834,13.48,28.32,13.02,54.82,0
P0835,11.99,29.63,20.47,62.09,1
P0836,11.42,25.7,17.46,54.58,0
P0837,13.69,26.76,20.77,61.22,0
P0838,20.71,22.93,19.15,62.79,1
P0839,22.35,36.83,23.98,83.16,1
P0840,13.66,17.79,18.38,49.83,0
P0841,22.62,20.3,17.16,60.08,0
P0842,15.14,25.09,23.48,63.71,1
P0843,22.01,32.03,20.9,74.94,1
P0844,14.63,13.02,21.66,49.31,0
P0845,15.52,14.52,14.68,44.72,0
P0846,16.46,8.7,12.77,37.93,0
P0847,27.72,25.26,15.16,68.14,1
P0848,18.41,16.05,14.9,49.36,0
P0849,12.17,21.92,21.93,56.02,0
P0850,18.88,30.29,22.88,72.05,1
P0851,13.55,19.87,17.22,50.64,0
P0852,13.04,26.85,25.15,65.04,1
P0853,18.63,22.61,24.84,66.08,1
P0854,15.12,30.38,19.22,64.72,1
P0855,16.11,28.8,13.89,58.8,0
P0856,15.06,19.46,25.88,60.4,0
P0857,16.35,23.65,17.69,57.69,0
P0858,16.7,33.35,18.63,68.68,1
P0859,7.25,28.15,16.3,51.7,0
P0860,17.67,13.82,13.55,45.04,0
P0861,11.07,30.24,10.66,51.97,0
P0862,9.23,16.32,21.16,46.71,0
P0863,14.77,36.3,14.08,65.15,1
P0864,15.34,33.19,33.3,81.83,1
P0865,12.23,27.32,12.57,52.12,0
P0866,18.32,26.26,11.71,56.29,0
P0867,9.63,23.33,20.55,53.51,0
P0868,13.37,30.43,25.65,69.45,1
P0869,12.66,22.03,18.32,53.01,0
P0870,14.81,26.88,20.86,62.55,1
P0871,16.12,31.98,8.78,56.88,0
P0872,10.97,20.51,14.61,46.09,0
P0873,17.9,20.07,12.63,50.6,0
P0874,15.25,15.45,8.52,39.22,0
P0875,7.43,16.48,18.58,42.49,0
P0876,7.17,10.37,6.79,24.33,0
P0877,14.95,30.84,11.39,57.18,0
P0878,14.12,39.47,15.31,68.9,1
P0879,14.59,36.4,13.84,64.83,1
P0880,14.89,11.99,19.98,46.86,0
P0881,15.9,30.8,19.53,66.23,1
P0882,18.79,36.38,22.47,77.64,1
P0883,10.56,21.35,21.76,53.67,0
P0884,10.31,25.81,23.7,59.82,0
P0885,10.63,8.94,17.99,37.56,0
P0886,16.16,27.13,19.52,62.81,1
P0887,19.98,16.49,20.56,57.03,0
P0888,13.27,26.6,18.71,58.58,0
P0889,4.99,12.51,16.01,33.51,0
P0890,8.18,29.34,16.34,53.86,0
P0891,11.67,33.2,13.91,58.78,0
P0892,12.77,18.73,20.11,51.61,0
P0893,13.37,15.9,17.53,46.8,0
P0894,15.15,7.75,14.68,37.58,0
P0895,13.75,22.87,14.69,51.31,0
P0896,19.2,20.35,11.95,51.5,0
P0897,12.3,12.59,22.89,47.78,0
P0898,11.55,28.62,18.39,58.56,0
P0899,16.92,21.4,13.69,52.01,0
P0900,8.86,16.39,22.04,47.29,0
P0901,16.56,20.56,15.2,52.32,0
P0902,15.41,33.57,10.97,59.95,0
P0903,14.41,29.82,23.11,67.34,1
P0904,21.35,23.96,15.31,60.62,0
P0905,12.51,29.95,15.96,58.42,0
P0906,23.24,15.71,18.21,57.16,0
P0907,14.1,25.26,23.71,63.07,1
P0908,9.89,26.18,18.1,54.17,0
P0909,15.28,21.24,12.0,48.52,0
P0910,10.7,28.48,20.72,59.9,0
P0911,11.99,18.76,15.58,46.33,0
P0912,16.59,29.08,27.44,73.11,1
P0913,17.22,29.41,17.99,64.62,1
P0914,12.51,1.66,6.82,20.99,0
P0915,18.95,34.52,19.79,73.26,1
P0916,19.63,1.0,27.72,48.35,0
P0917,20.75,20.07,25.88,66.7,1
P0918,17.12,33.2,27.15,77.47,1
P0919,20.45,22.46,12.9,55.81,0
P0920,7.48,13.27,22.56,43.31,0
P0921,13.73,16.25,14.39,44.37,0
P0922,11.53,33.22,19.12,63.87,1
P0923,15.48,9.63,11.64,36.75,0
P0924,12.71,34.03,14.78,61.52,0
P0925,14.34,24.56,14.62,53.52,0
P0926,22.53,15.46,22.49,60.48,0
P0927,14.32,20.34,22.0,56.66,0
P0928,16.66,16.86,19.38,52.9,0
P0929,14.07,31.93,11.25,57.25,0
P0930,15.3,30.86,16.44,62.6,1
P0931,15.02,11.25,14.27,40.54,0
P0932,16.79,21.77,22.35,60.91,0
P0933,19.66,18.09,23.89,61.64,0
P0934,21.59,35.35,23.28,80.22,1
P0935,16.24,14.2,14.22,44.66,0
P0936,17.36,37.83,4.3,59.49,0
P0937,10.4,24.73,9.17,44.3,0
P0938,14.65,15.7,25.11,55.46,0
P0939,18.76,19.58,15.99,54.33,0
P0940,18.46,18.59,14.25,51.3,0
P0941,15.85,14.8,26.21,56.86,0
P0942,18.55,25.76,24.33,68.64,1
P0943,16.96,15.18,18.12,50.26,0
P0944,19.8,7.56,16.53,43.89,0
P0945,16.16,21.96,17.34,55.46,0
P0946,13.58,10.58,19.14,43.3,0
P0947,16.34,18.98,26.0,61.32,0
P0948,3.28,17.73,20.11,41.12,0
P0949,16.53,18.03,21.63,56.19,0
P0950,1.0,41.01,23.85,65.86,1
P0951,8.11,25.45,12.15,45.71,0
P0952,16.81,26.96,21.77,65.54,1
P0953,16.91,10.79,16.53,44.23,0
P0954,10.35,19.77,5.42,35.54,0
P0955,12.15,26.72,7.36,46.23,0
P0956,20.48,16.8,12.91,50.19,0
P0957,13.06,32.26,20.66,65.98,1
P0958,23.97,15.38,18.57,57.92,0
P0959,14.99,22.71,18.92,56.62,0
P0960,16.63,20.31,27.75,64.69,1
P0961,21.47,26.31,11.65,59.43,0
P0962,15.52,19.88,17.86,53.26,0
P0963,10.99,22.83,19.52,53.34,0
P0964,14.56,23.11,14.32,51.99,0
P0965,14.86,19.12,18.14,52.12,0
P0966,9.54,28.88,10.0,48.42,0
P0967,13.98,26.91,25.05,65.94,1
P0968,12.03,24.29,14.59,50.91,0
P0969,18.7,21.56,28.16,68.42,1
P0970,15.14,31.37,17.84,64.35,1
P0971,13.87,23.11,23.14,60.12,0
P0972,14.58,22.55,17.73,54.86,0
P0973,15.89,25.84,17.85,59.58,0
P0974,17.47,38.57,15.08,71.12,1
P0975,11.0,14.28,18.6,43.88,0
P0976,10.83,31.16,19.59,61.58,0
P0977,19.42,9.85,14.08,43.35,0
P0978,13.35,26.74,17.37,57.46,0
P0979,9.33,37.6,14.95,61.88,0
P0980,16.78,28.91,29.5,75.19,1
P0981,16.85,26.37,17.55,60.77,0
P0982,8.88,20.52,25.73,55.13,0
P0983,15.92,25.25,17.02,58.19,0
P0984,17.94,22.98,19.3,60.22,0
P0985,16.5,18.71,11.39,46.6,0
P0986,17.53,22.68,15.76,55.97,0
P0987,9.38,26.59,19.05,55.02,0
P0988,16.32,18.86,25.93,61.11,0
P0989,13.79,18.55,19.11,51.45,0
P0990,13.07,14.12,24.92,52.11,0
P0991,18.48,28.13,21.2,67.81,1
P0992,20.92,29.36,26.14,76.42,1
P0993,22.18,26.85,17.7,66.73,1
P0994,20.26,32.72,29.95,82.93,1
P0995,14.56,25.7,15.57,55.83,0
P0996,16.41,28.14,14.17,58.72,0
P0997,18.07,27.43,11.95,57.45,0
P0998,15.48,24.27,29.66,69.41,1
P0999,15.52,20.75,22.1,58.37,0
P1000,18.3,42.71,16.33,77.34,1
